restaurant_id,weekday,time,total_seats
R001,Everyday,11:30,24
R001,Everyday,12:00,24
R001,Everyday,12:30,24
R001,Everyday,18:00,24
R001,Everyday,18:30,24
R001,Everyday,19:00,24
R001,Everyday,19:30,24
R001,Everyday,20:00,24
R002,Everyday,11:30,16
R002,Everyday,12:00,16
R002,Everyday,12:30,16
R002,Everyday,18:00,16
R002,Everyday,18:30,16
R002,Everyday,19:00,16
R002,Everyday,19:30,16
R002,Everyday,20:00,16
R003,Everyday,11:30,24
R003,Everyday,12:00,24
R003,Everyday,12:30,24
R003,Everyday,18:00,24
R003,Everyday,18:30,24
R003,Everyday,19:00,24
R003,Everyday,19:30,24
R003,Everyday,20:00,24
R004,Everyday,17:30,16
R004,Everyday,18:00,16
R004,Everyday,18:30,16
R004,Everyday,19:00,16
R004,Everyday,19:30,16
R004,Everyday,20:00,16
R004,Everyday,20:30,16
R004,Everyday,21:00,16
R005,Everyday,11:30,24
R005,Everyday,12:00,24
R005,Everyday,12:30,24
R005,Everyday,18:00,24
R005,Everyday,18:30,24
R005,Everyday,19:00,24
R005,Everyday,19:30,24
R005,Everyday,20:00,24
R006,Everyday,11:30,16
R006,Everyday,12:00,16
R006,Everyday,12:30,16
R006,Everyday,18:00,16
R006,Everyday,18:30,16
R006,Everyday,19:00,16
R006,Everyday,19:30,16
R006,Everyday,20:00,16
