record_id,condition,fault_type,fault_size_in,outer_race_position,load_hp,speed_rpm,sampling_rate_hz,faulty_bearing_location,filename,relative_path,file_size_bytes
97,normal,normal,0.0,NA,0,1797,48000,none,97.mat,normal/97.mat,3903344
98,normal,normal,0.0,NA,1,1772,48000,none,98.mat,normal/98.mat,7742720
99,normal,normal,0.0,NA,2,1750,48000,none,99.mat,normal/99.mat,15503928
100,normal,normal,0.0,NA,3,1730,48000,none,100.mat,normal/100.mat,7770624
109,fault,inner_race,0.007,NA,0,1797,48000,drive_end,109.mat,fault/109.mat,3903344
110,fault,inner_race,0.007,NA,1,1772,48000,drive_end,110.mat,fault/110.mat,7779920
111,fault,inner_race,0.007,NA,2,1750,48000,drive_end,111.mat,fault/111.mat,7770624
112,fault,inner_race,0.007,NA,3,1730,48000,drive_end,112.mat,fault/112.mat,7770624
122,fault,ball,0.007,NA,0,1797,48000,drive_end,122.mat,fault/122.mat,3916160
123,fault,ball,0.007,NA,1,1772,48000,drive_end,123.mat,fault/123.mat,7798480
124,fault,ball,0.007,NA,2,1750,48000,drive_end,124.mat,fault/124.mat,7789200
125,fault,ball,0.007,NA,3,1730,48000,drive_end,125.mat,fault/125.mat,7817056
135,fault,outer_race,0.007,6_oclock,0,1797,48000,drive_end,135.mat,fault/135.mat,3896944
136,fault,outer_race,0.007,6_oclock,1,1772,48000,drive_end,136.mat,fault/136.mat,7789200
137,fault,outer_race,0.007,6_oclock,2,1750,48000,drive_end,137.mat,fault/137.mat,7789200
138,fault,outer_race,0.007,6_oclock,3,1730,48000,drive_end,138.mat,fault/138.mat,7807760
148,fault,outer_race,0.007,3_oclock,0,1797,48000,drive_end,148.mat,fault/148.mat,1993968
149,fault,outer_race,0.007,3_oclock,1,1772,48000,drive_end,149.mat,fault/149.mat,7761344
150,fault,outer_race,0.007,3_oclock,2,1750,48000,drive_end,150.mat,fault/150.mat,7770624
151,fault,outer_race,0.007,3_oclock,3,1730,48000,drive_end,151.mat,fault/151.mat,7779920
161,fault,outer_race,0.007,12_oclock,0,1797,48000,drive_end,161.mat,fault/161.mat,2079840
162,fault,outer_race,0.007,12_oclock,1,1772,48000,drive_end,162.mat,fault/162.mat,7724208
163,fault,outer_race,0.007,12_oclock,2,1750,48000,drive_end,163.mat,fault/163.mat,7733504
164,fault,outer_race,0.007,12_oclock,3,1730,48000,drive_end,164.mat,fault/164.mat,7752064
174,fault,inner_race,0.014,NA,0,1797,48000,drive_end,174.mat,fault/174.mat,1020944
175,fault,inner_race,0.014,NA,1,1772,48000,drive_end,175.mat,fault/175.mat,17849704
176,fault,inner_race,0.014,NA,2,1750,48000,drive_end,176.mat,fault/176.mat,7807760
177,fault,inner_race,0.014,NA,3,1730,48000,drive_end,177.mat,fault/177.mat,7761344
189,fault,ball,0.014,NA,0,1797,48000,drive_end,189.mat,fault/189.mat,3986672
190,fault,ball,0.014,NA,1,1772,48000,drive_end,190.mat,fault/190.mat,7779920
191,fault,ball,0.014,NA,2,1750,48000,drive_end,191.mat,fault/191.mat,7798480
192,fault,ball,0.014,NA,3,1730,48000,drive_end,192.mat,fault/192.mat,7789200
201,fault,outer_race,0.014,6_oclock,0,1797,48000,drive_end,201.mat,fault/201.mat,3922576
202,fault,outer_race,0.014,6_oclock,1,1772,48000,drive_end,202.mat,fault/202.mat,7752064
203,fault,outer_race,0.014,6_oclock,2,1750,48000,drive_end,203.mat,fault/203.mat,7789200
204,fault,outer_race,0.014,6_oclock,3,1730,48000,drive_end,204.mat,fault/204.mat,7817056
213,fault,inner_race,0.021,NA,0,1797,48000,drive_end,213.mat,fault/213.mat,3909760
214,fault,inner_race,0.021,NA,1,1772,48000,drive_end,214.mat,fault/214.mat,7761344
215,fault,inner_race,0.021,NA,2,1750,48000,drive_end,215.mat,fault/215.mat,7863472
217,fault,inner_race,0.021,NA,3,1730,48000,drive_end,217.mat,fault/217.mat,15689680
226,fault,ball,0.021,NA,0,1797,48000,drive_end,226.mat,fault/226.mat,3903344
227,fault,ball,0.021,NA,1,1772,48000,drive_end,227.mat,fault/227.mat,7789200
228,fault,ball,0.021,NA,2,1750,48000,drive_end,228.mat,fault/228.mat,7798480
229,fault,ball,0.021,NA,3,1730,48000,drive_end,229.mat,fault/229.mat,7789200
238,fault,outer_race,0.021,6_oclock,0,1797,48000,drive_end,238.mat,fault/238.mat,3941808
239,fault,outer_race,0.021,6_oclock,1,1772,48000,drive_end,239.mat,fault/239.mat,7826336
240,fault,outer_race,0.021,6_oclock,2,1750,48000,drive_end,240.mat,fault/240.mat,7807760
241,fault,outer_race,0.021,6_oclock,3,1730,48000,drive_end,241.mat,fault/241.mat,7826336
250,fault,outer_race,0.021,3_oclock,0,1797,48000,drive_end,250.mat,fault/250.mat,2058944
251,fault,outer_race,0.021,3_oclock,1,1772,48000,drive_end,251.mat,fault/251.mat,7835616
252,fault,outer_race,0.021,3_oclock,2,1750,48000,drive_end,252.mat,fault/252.mat,7798480
253,fault,outer_race,0.021,3_oclock,3,1730,48000,drive_end,253.mat,fault/253.mat,7752064
262,fault,outer_race,0.021,12_oclock,0,1797,48000,drive_end,262.mat,fault/262.mat,2089120
263,fault,outer_race,0.021,12_oclock,1,1772,48000,drive_end,263.mat,fault/263.mat,7779920
264,fault,outer_race,0.021,12_oclock,2,1750,48000,drive_end,264.mat,fault/264.mat,7789200
265,fault,outer_race,0.021,12_oclock,3,1730,48000,drive_end,265.mat,fault/265.mat,7779920
