task,classifier,method,seed,accuracy,macro_f1,best_val_f1
target_0hp,CNN_1D,none,42,0.604989604989605,0.6717957276368491,1.0
target_1hp,CNN_1D,none,42,0.9147034930950447,0.8553647917186645,0.9984459909462081
target_2hp,CNN_1D,none,42,1.0,1.0,0.9989008340363286
target_3hp,CNN_1D,none,42,0.8315617334423548,0.8779233423484112,1.0
target_0hp,CNN_1D,none,43,0.5093555093555093,0.59065444359562,1.0
target_1hp,CNN_1D,none,43,0.9130787977254264,0.8540605590335594,1.0
target_2hp,CNN_1D,none,43,0.9975629569455727,0.9979631560653458,1.0
target_3hp,CNN_1D,none,43,0.7252657399836467,0.7914718509098138,1.0
target_0hp,CNN_1D,none,44,0.5280665280665281,0.561118679213476,1.0
target_1hp,CNN_1D,none,44,0.9277010560519903,0.9075941042147784,1.0
target_2hp,CNN_1D,none,44,0.9943135662063363,0.9952483186095039,1.0
target_3hp,CNN_1D,none,44,0.7923139820114473,0.8494185277287013,1.0
