accuracy,macro_f1,task,method,classifier,elapsed_sec
0.8565488565488566,0.892493580605662,target_0hp,none,RandomForest,1.81
0.7525987525987526,0.799300996239547,target_0hp,coral,RandomForest,2.03
0.8669438669438669,0.8401986700754949,target_0hp,tca,RandomForest,2.13
0.6382536382536382,0.7097349053028078,target_0hp,none,SVM_RBF,0.06
0.760914760914761,0.801989228960443,target_0hp,coral,SVM_RBF,0.2
0.6798336798336798,0.5384627383448138,target_0hp,tca,SVM_RBF,0.07
0.8789601949634444,0.881932505531246,target_1hp,none,RandomForest,1.54
0.8846466287571081,0.8302525871839782,target_1hp,coral,RandomForest,1.65
0.8895207148659626,0.901780663782965,target_1hp,tca,RandomForest,1.76
0.8570268074735987,0.8116879326161288,target_1hp,none,SVM_RBF,0.07
0.8537774167343624,0.8097786891155451,target_1hp,coral,SVM_RBF,0.08
0.8740861088545898,0.8239718311084433,target_1hp,tca,SVM_RBF,0.07
0.9813160032493907,0.9837483003480717,target_2hp,none,RandomForest,1.53
0.9593826157595451,0.9655091304269479,target_2hp,coral,RandomForest,1.6
0.9601949634443542,0.9641902543888876,target_2hp,tca,RandomForest,1.68
0.9268887083671812,0.9425293538337327,target_2hp,none,SVM_RBF,0.07
0.9228269699431356,0.9398719063052765,target_2hp,coral,SVM_RBF,0.08
0.9309504467912266,0.9444730165656733,target_2hp,tca,SVM_RBF,0.07
0.8356500408830744,0.8628934934414575,target_3hp,none,RandomForest,1.45
0.8511856091578087,0.8347288214665063,target_3hp,coral,RandomForest,1.65
0.8659035159443991,0.8870693205392111,target_3hp,tca,RandomForest,1.76
0.8168438266557645,0.6425054317777881,target_3hp,none,SVM_RBF,0.07
0.8650858544562551,0.8197018306696233,target_3hp,coral,SVM_RBF,0.08
0.7072771872444807,0.5541523262796555,target_3hp,tca,SVM_RBF,0.07
