task,method,acc_mean,acc_std,f1_mean,f1_std
0hp(target_scarce),extra_trees,0.9579,0.0366,0.9175,0.0737
0hp(target_scarce),grad_boost,0.837,0.0522,0.7624,0.0488
0hp(target_scarce),knn_k5,0.8883,0.0168,0.8191,0.0124
0hp(target_scarce),logreg,0.9469,0.0177,0.921,0.0377
0hp(target_scarce),random_forest,0.9451,0.0145,0.8949,0.0356
0hp(target_scarce),svm_rbf,0.9579,0.0222,0.9161,0.0591
1hp(target_scarce),extra_trees,0.9856,0.0054,0.9833,0.0071
1hp(target_scarce),grad_boost,0.9084,0.0278,0.8926,0.0326
1hp(target_scarce),knn_k5,0.9618,0.0132,0.9555,0.0152
1hp(target_scarce),logreg,0.9899,0.005,0.9875,0.0058
1hp(target_scarce),random_forest,0.9805,0.0115,0.9745,0.0161
1hp(target_scarce),svm_rbf,0.9848,0.0,0.9841,0.0011
2hp(target_scarce),extra_trees,0.9798,0.005,0.9735,0.0071
2hp(target_scarce),grad_boost,0.9055,0.036,0.8802,0.0433
2hp(target_scarce),knn_k5,0.9185,0.0119,0.8992,0.0167
2hp(target_scarce),logreg,0.9444,0.0438,0.9357,0.0445
2hp(target_scarce),random_forest,0.9704,0.0076,0.9612,0.0108
2hp(target_scarce),svm_rbf,0.9661,0.0139,0.9569,0.0212
3hp(target_scarce),extra_trees,0.9661,0.0033,0.9565,0.0043
3hp(target_scarce),grad_boost,0.8975,0.0475,0.8733,0.0404
3hp(target_scarce),knn_k5,0.8947,0.0187,0.8591,0.0302
3hp(target_scarce),logreg,0.9271,0.0206,0.9025,0.027
3hp(target_scarce),random_forest,0.961,0.0152,0.9495,0.0212
3hp(target_scarce),svm_rbf,0.9394,0.0152,0.9167,0.0233
